date1,date2,height1,height2,note
2023-05-13 01:00:00,2023-05-13 10:00:00,7000,9000,
2023-05-31 10:20:00,2023-05-31 12:00:00,650,1000,
2023-05-30 05:00:00,2023-05-30 12:00:00,7000,9000,
2023-05-30 20:00:00,2023-05-31 00:00:00,7600,9000,
2023-05-11 07:00:00,2023-05-11 16:00:00,650,1300,
2023-05-11 16:00:00,2023-05-11 18:00:00,800,1300,
2023-05-12 11:00:00,2023-05-12 14:00:00,800,1300,
2023-05-12 09:00:00,2023-05-12 10:30:00,650,1300,
2023-05-14 13:00:00,2023-05-14 17:00:00,650,1300,
2023-05-14 17:00:00,2023-05-14 19:00:00,750,1300,
2023-05-14 19:00:00,2023-05-14 21:00:00,650,1300,
2023-05-14 21:00:00,2023-05-15 00:00:00,750,1300,
2023-05-15 02:30:00,2023-05-15 15:00:00,550,1300,
2023-05-15 00:00:00,2023-05-15 02:00:00,750,1300,
2023-05-20 20:15:00,2023-05-21 00:00:00,7100,9000,
2023-05-20 19:00:00,2023-05-20 20:00:00,7450,9000,
2023-06-04 19:00:00,2023-06-04 20:00:00,550,1200,
2023-06-04 22:00:00,2023-06-05 00:00:00,550,1200,
2023-06-05 00:00:00,2023-06-05 12:00:00,550,1200,
2023-06-07 06:00:00,2023-06-08 00:00:00,550,1200,
2023-06-08 00:00:00,2023-06-08 05:00:00,650,1200,
2023-06-08 05:00:00,2023-06-08 15:00:00,750,1200,
2023-06-08 15:00:00,2023-06-09 00:00:00,630,1300,
2023-06-09 00:00:00,2023-06-09 02:00:00,650,1200,
2023-06-09 02:00:00,2023-06-09 07:15:00,750,1200,
2023-06-09 19:30:00,2023-06-09 21:00:00,800,1200,
2023-06-11 09:00:00,2023-06-11 11:00:00,7600,9000,
2023-06-11 07:30:00,2023-06-11 08:30:00,7500,9000,
2023-06-11 20:00:00,2023-06-11 22:00:00,7500,9000,
2023-06-12 00:00:00,2023-06-12 05:00:00,6400,9000,
2023-06-12 05:00:00,2023-06-12 16:00:00,6700,9000,
2023-05-22 22:00:00,2023-05-23 00:00:00,6700,9000,
2023-05-23 00:00:00,2023-05-23 02:00:00,7000,9000,
2023-05-23 23:00:00,2023-05-24 00:00:00,7000,9000,
2023-05-23 05:00:00,2023-05-23 12:30:00,650,1300,
2023-06-03 02:00:00,2023-06-03 03:30:00,550,1300,
2023-05-05 14:40:00,2023-05-06 00:00:00,0,12000,Bad data
2023-05-06 00:00:00,2023-05-06 07:00:00,0,12000,Bad data
2023-05-07 01:00:00,2023-05-07 04:00:00,5000,9000,
